language,review_count,positive_reviews,positive_rate,median_playtime_hours
brazilian,51,45,88.24,20.78
bulgarian,1,1,100.0,17.5
czech,3,3,100.0,80.22
dutch,4,4,100.0,37.85
english,1013,824,81.34,21.82
finnish,2,2,100.0,9.65
french,18,17,94.44,28.73
german,17,17,100.0,13.45
italian,5,5,100.0,32.15
japanese,1,1,100.0,29.4
koreana,622,449,72.19,32.12
latam,8,7,87.5,7.69
polish,13,12,92.31,30.92
portuguese,1,1,100.0,9.52
russian,123,89,72.36,20.52
schinese,50,17,34.0,22.93
spanish,29,22,75.86,11.63
swedish,1,0,0.0,252.43
tchinese,13,4,30.77,39.3
thai,8,6,75.0,51.3
turkish,9,7,77.78,19.12
ukrainian,8,6,75.0,38.93
